"OBJECTID","Parent_ID","Zone_ID","Jurisdiction_ID","Name","Nom","GIS_Size_Ha","SIG_Superficie_Ha","SurveySize_Ha","ArpentageSuperficie_Ha","GazetteSize_Ha","GazetteSuperficie_Ha","GIS_ZoneSize_Ha","SIG_ZoneSuperficie_Ha","ProvinceTerritory","ProvinceTerritoire","LegalStatus","StatutLegal","Legislation_En","Legislation_Fr","ProtectionType","TypeProtection","IUCN_Category","Categorie_UICN","Biome_En","Biome_Fr","ProtectionDate","GazetteDate","ARMS_ID","DFRP_ID","PA_Comments","AP_Commentaires","Shape_STArea__","Shape_STLength__","Shape_STArea_1","Shape_STLength_1","Shape_STArea_12","Shape_STLength_12","Shape_Length","Shape_Area"
"215","730009500","730009520","9520","Prairie National Wildlife Area - Unit number 20","Prairies - Unité numéro 20, Réserve nationale de faune des","343.64","343.64","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","Vl","Vl","Terrestrial","Terrestre","19770101000000","","","","Prairie National Wildlife Area - Unit number 20","Prairie National Wildlife Area - Unit number 20","3436383.17944336","13922.66930704","0.00043693","0.14720755","0.000436937427366502","0.147207552417826","0.147207552417826","0.000436937426225158"
"216","730009500","730009521","9521","Prairie National Wildlife Area - Unit number 21","Prairies - Unité numéro 21, Réserve nationale de faune des","129.15","129.15","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","Vl","Vl","Terrestrial","Terrestre","19770101000000","","","","Prairie National Wildlife Area - Unit number 21","Prairie National Wildlife Area - Unit number 21","1291501.84301758","4825.92339396","0.00016436","0.05165537","0.000164366231274471","0.0516553741390493","0.0516553741390493","0.000164366231896314"
"217","730009500","730009522","9522","Prairie National Wildlife Area - Unit number 22","Prairies - Unité numéro 22, Réserve nationale de faune des","64.52","64.52","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","Vl","Vl","Terrestrial","Terrestre","19770101000000","","","","Prairie National Wildlife Area - Unit number 22","Prairie National Wildlife Area - Unit number 22","645168.71533203","3212.95571586","8.337e-005","0.03753799","8.33771287034324e-005","0.0375379959350329","0.0375379959350329","8.3377128988093e-005"
"218","730009500","730009523","9523","Prairie National Wildlife Area - Unit number 23","Prairies - Unité numéro 23, Réserve nationale de faune des","61.06","61.06","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","Vl","Vl","Terrestrial","Terrestre","19770101000000","","","","Prairie National Wildlife Area - Unit number 23","Prairie National Wildlife Area - Unit number 23","610641.32714843","5073.52220422","7.692e-005","0.06086232","7.69205284996133e-005","0.060862323539524","0.060862323539524","7.69205290683487e-005"
"219","730009500","730009524","9524","Prairie National Wildlife Area - Unit number 24","Prairies - Unité numéro 24, Réserve nationale de faune des","65.77","65.77","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","Vl","Vl","Terrestrial","Terrestre","19770101000000","","","","Prairie National Wildlife Area - Unit number 24","Prairie National Wildlife Area - Unit number 24","657684.24560546","3244.08142688","8.242e-005","0.03727009","8.24235621621483e-005","0.037270096587568","0.037270096587568","8.24235626378958e-005"
"220","730009500","730009525","9525","Prairie National Wildlife Area - Unit number 25","Prairies - Unité numéro 25, Réserve nationale de faune des","64.84","64.84","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","Vl","Vl","Terrestrial","Terrestre","19770101000000","","","","Prairie National Wildlife Area - Unit number 25","Prairie National Wildlife Area - Unit number 25","648404.11083984","3220.99558145","8.167e-005","0.03700604","8.16775668681657e-005","0.0370060434058093","0.0370060434058093","8.16775675734721e-005"
"221","730009500","730009526","9526","Prairie National Wildlife Area - Unit number 26","Prairies - Unité numéro 26, Réserve nationale de faune des","126.82","126.82","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","Vl","Vl","Terrestrial","Terrestre","19770101000000","","","","Prairie National Wildlife Area - Unit number 26","Prairie National Wildlife Area - Unit number 26","1268197.37451172","6536.35167406","0.00016096","0.07591933","0.000160967003921542","0.0759193341289503","0.0759193341289503","0.000160967002306099"
"222","730009500","730009527","9527","Prairie National Wildlife Area - Unit number 27","Prairies - Unité numéro 27, Réserve nationale de faune des","161.17","161.17","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","Vl","Vl","Terrestrial","Terrestre","19770101000000","","","","Prairie National Wildlife Area - Unit number 27","Prairie National Wildlife Area - Unit number 27","1611724.56469727","11495.56708657","0.00020197","0.12828565","0.000201971662136202","0.128285655116426","0.128285655116426","0.00020197166197704"
"223","730010000","730010000","10000","Raven Island National Wildlife Area","Raven Island, Réserve nationale de faune de","112.35","112.35","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","lV","lV","Terrestrial","Terrestre","19820101000000","","","","N/A","N/A","1123529.56713867","5135.49821184","0.00014848","0.05772156","0.000148482068652811","0.0577215685368719","0.0577215685368719","0.000148482067677393"
"224","730010100","730010100","10100","Red Deer Migratory Bird Sanctuary","Red-Deer, Refuge d’oiseaux migrateurs de","129.04","129.04","","","","","","","Alberta","Alberta","Gazetted","Gazette","Migratory Bird Convention Act","","Migratory Bird Sanctuary","","N/A","N/A","Terrestrial","Terrestre","19240101000000","","","","N/A","N/A","1290371.63891602","4829.01010819","0.00016991","0.05239348","0.000169919850122824","0.0523934813158282","0.0523934813158282","0.000169919850685848"
"225","730010200","730010200","10200","Redberry Lake Migratory Bird Sanctuary","lac Redberry, Refuge d’oiseaux migrateurs du","5271.37","5271.37","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Migratory Bird Convention Act","","Migratory Bird Sanctuary","","ll","ll","Terrestrial","Terrestre","19250101000000","","","","N/A","N/A","52713669.4213867","41783.21843522","0.00700545","0.48891823","0.00700545850304479","0.488918233484142","0.488918233484142","0.00700545851175144"
"226","730010300","730010300","10300","Richardson Lake Migratory Bird Sanctuary","lac Richardson, Refuge d’oiseaux migrateurs du","10798.04","10798.04","","","","","","","Alberta","Alberta","Gazetted","Gazette","Migratory Bird Convention Act","","Migratory Bird Sanctuary","","lb","lb","Terrestrial","Terrestre","19490101000000","","","","N/A","N/A","107980387.399414","51283.02295538","0.01658082","0.70270116","0.0165808293954797","0.702701165882419","0.702701165882419","0.0165808293963895"
"227","730010500","730010500","10500","Rockwood National Wildlife Area","Rockwood, Réserve nationale de faune de","30.95","30.95","","","","","","","Manitoba","Manitoba","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","lV","lV","Terrestrial","Terrestre","19810101000000","","","","N/A","N/A","309495.90380859","2377.02106064","3.903e-005","0.02525133","3.90365471503173e-005","0.0252513316405875","0.0252513316405875","3.90365463564622e-005"
"228","730011200","730011200","11200","Saskatoon Lake Migratory Bird Sanctuary","lac Saskatoon, Refuge d’oiseaux migrateurs du","1149.5","1149.5","","","","","","","Alberta","Alberta","Gazetted","Gazette","Migratory Bird Convention Act","","Migratory Bird Sanctuary","","lll","lll","Terrestrial","Terrestre","19480101000000","","","","N/A","N/A","11494970.5810547","19646.61401111","0.00162213","0.24157788","0.00162213238900222","0.241577887481107","0.241577887481107","0.00162213239143209"
"229","730011300","730011300","11300","Scent Grass Lake Migratory Bird Sanctuary","lac Scent-Grass, Refuge d’oiseaux migrateurs du","646.7","646.7","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Migratory Bird Convention Act","","Migratory Bird Sanctuary","","lV","lV","Terrestrial","Terrestre","19480101000000","","","","N/A","N/A","6467003.28955078","12171.44718839","0.00086473","0.15478361","0.00086473676674359","0.154783610573937","0.154783610573938","0.000864736761349755"
"230","730012100","730012100","12100","Spiers Lake National Wildlife Area","Lac Spiers, Réserve nationale de faune du","64.46","64.46","","","","","","","Alberta","Alberta","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","la","la","Terrestrial","Terrestre","19800101000000","","","","N/A","N/A","644638.47216796","3211.64879533","8.421e-005","0.03775279","8.42135500533914e-005","0.037752797287067","0.037752797287067","8.42135499612714e-005"
"231","730012300","730012300","12300","St. Denis National Research Area","St-Denis, Réserve nationale de faune de","360.6","360.6","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","lV","lV","Terrestrial","Terrestre","19670101000000","","","","N/A","N/A","3606041.37719727","12417.16317454","0.00047409","0.14224699","0.000474093575576262","0.142246997197304","0.142246997197305","0.000474093572738089"
"232","730012500","730012500","12500","Stalwart National Wildlife Area","Stalwart, Réserve nationale de faune de","1250.49","1250.49","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","lV","lV","Terrestrial","Terrestre","19690101000000","","","","N/A","N/A","12504909.1818848","50482.17093998","0.00160904","0.58125389","0.00160904388349081","0.58125389945988","0.581253899459881","0.00160904388109692"
"233","730012600","730012600","12600","Sutherland Migratory Bird Sanctuary","Sutherland, Refuge d’oiseaux migrateurs de","129.5","129.5","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Migratory Bird Convention Act","","Migratory Bird Sanctuary","","N/A","N/A","Terrestrial","Terrestre","19240101000000","","","","N/A","N/A","1295017.52905273","4838.31861892","0.00017006","0.0524524","0.000170065204656566","0.0524524071938438","0.0524524071938438","0.000170065203318293"
"234","730013000","730013000","13000","Tway Lake National Wildlife Area","Tway, Réserve nationale de faune de","249.87","249.87","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","lV","lV","Terrestrial","Terrestre","19710101000000","","","","N/A","N/A","2498728.77197266","9734.36598932","0.00033261","0.11588604","0.000332610686200496","0.115886044110475","0.115886044110475","0.000332610684622751"
"235","730013200","730013200","13200","Upper Rousay Lake Migratory Bird Sanctuary","lac Upper-Rousay, Refuge d’oiseaux migrateurs du","364.33","364.33","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Migratory Bird Convention Act","","Migratory Bird Sanctuary","","lV","lV","Terrestrial","Terrestre","19480101000000","","","","N/A","N/A","3643334.86303711","29105.01127635","0.00046841","0.34188969","0.000468415259092581","0.341889693793054","0.341889693793054","0.000468415261616204"
"236","730013300","730013300","13300","Val Marie Reservoir Migratory Bird Sanctuary","réservoir Val-Marie, Refuge d’oiseaux migrateurs du","430.95","430.95","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Migratory Bird Convention Act","","Migratory Bird Sanctuary","","V","V","Terrestrial","Terrestre","19480101000000","","","","N/A","N/A","4309521.35717773","27956.8106251","0.00053298","0.31750783","0.000532982636741508","0.317507832762403","0.317507832762404","0.000532982631734015"
"237","730013800","730013800","13800","Wascana Lake Migratory Bird Sanctuary","lac Wascana, Refuge d’oiseaux migrateurs du","117.44","117.44","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Migratory Bird Convention Act","","Migratory Bird Sanctuary","","N/A","N/A","Terrestrial","Terrestre","19560101000000","","","","N/A","N/A","1174358.671875","6483.49459031","0.00014856","0.07468499","0.00014856410871289","0.0746849969336596","0.0746849969336595","0.000148564106014084"
"238","730014000","730014000","14000","Webb National Wildlife Area","Webb, Réserve nationale de faune","431.39","431.39","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","lV","lV","Terrestrial","Terrestre","19800101000000","","","","N/A","N/A","4313893.29321289","17038.19763086","0.00054323","0.21174683","0.000543235025361355","0.211746834332583","0.211746834332583","0.000543235025002719"
"239","730000200","730000210","200","Alaksen National Wildlife Area (M)","Alaksen, Réserve nationale de faune d' (M)","50.64","50.64","","","","","","","British Columbia","Colombie-Britannique","Gazetted","Gazette","","","National Wildlife Area","","V","V","Marine","Marin","19760101000000","","","","Updated May 27 2010 - PYR Cadastral Purchases","Updated May 27 2010 - PYR Cadastral Purchases","312319.70941162","7781.19330825","3.845e-005","0.09976656","3.84594095521607e-005","0.0997665659371163","0.0997665659371163","3.84594086674745e-005"
"240","730000200","730000200","200","Alaksen National Wildlife Area (T)","Alaksen, Réserve nationale de faune d' (T)","298.39","298.39","","","","","","","British Columbia","Colombie-Britannique","Gazetted","Gazette","","","National Wildlife Area","","V","V","Terrestrial","Terrestre","19760101000000","","","","Updated May 27 2010 - PYR Cadastral Purchases","Updated May 27 2010 - PYR Cadastral Purchases","3314731.97271728","14416.60953856","0.00040816","0.17268842","0.000408162599796924","0.172688427185039","0.172688427185039","0.000408162602019021"
"241","730003200","730003200","3200","Columbia National Wildlife Area","Columbia, Réserve nationale de faune de","1006.62","1006.62","","","","","","","British Columbia","Colombie-Britannique","Gazetted","Gazette","","","National Wildlife Area","","la","la","Terrestrial","Terrestre","19780101000000","","","","Updated May 27 2010 - PYR Cadastral Purchases","Updated May 27 2010 - PYR Cadastral Purchases","10018780.2332764","53699.19623267","0.00127577","0.61414412","0.00127577842113169","0.614144125629862","0.614144125629862","0.00127577842357137"
"242","730014800","730014800","14800","Great Blue Heron Nature Reserve","Great Blue Heron, Réserve naturelle de","14.7","14.7","","","","","","","British Columbia","Colombie-Britannique","Other","Autre","","","Nature Reserve","","","","Terrestrial","Terrestre","20010101000000","","","","Updated Feb 03 2015 - - PYR Update (Amos Chow)","Updated Feb 03 2015","147004.1675415","2427.23824169","1.809e-005","0.02854297","1.80993183676037e-005","0.0285429798521495","0.0285429798521495","1.80993209241504e-005"
"243","730009800","730009800","9800","Qualicum National Wildlife Area","Qualicum, Réserve nationale de faune de","78.49","78.49","","","","","","","British Columbia","Colombie-Britannique","Gazetted","Gazette","","","National Wildlife Area","","la","la","Terrestrial","Terrestre","19770101000000","","","","Updated May 27 2010 - PYR Cadastral Purchases","Updated May 27 2010 - PYR Cadastral Purchases","787312.58990478","12587.28878768","9.744e-005","0.14935947","9.74433955889253e-005","0.14935947585336","0.14935947585336","9.74433908578125e-005"
"244","730013400","730013400","13400","Vaseux-Bighorn National Wildlife Area","Vaseux-Bighorn, Réserve nationale de faune de","752.64","752.64","","","","","","","British Columbia","Colombie-Britannique","Gazetted","Gazette","","","National Wildlife Area","","lV","lV","Terrestrial","Terrestre","19790101000000","","","","Updated January 18 2011 - PYR Update (Andree Mackay)","Updated January 18 2011 - PYR Update (Andree Mackay)","8040230.35375976","43373.90983677","0.00099367","0.46176014","0.000993671833839471","0.461760142640316","0.461760142640316","0.000993671815974951"
"245","730014200","730014200","14200","Widgeon Valley National Wildlife Area","vallée Widgeon, Réserve nationale de faune de la","124.93","124.93","","","","","","","British Columbia","Colombie-Britannique","Gazetted","Gazette","","","National Wildlife Area","","la","la","Terrestrial","Terrestre","19780101000000","","","","Updated May 27 2010 - PYR Cadastral Purchases","Updated May 27 2010 - PYR Cadastral Purchases","1249308.7532959","5536.71394862","0.00015466","0.06117184","0.000154669777657546","0.0611718451722304","0.0611718451722304","0.00015466977751925"
"246","730008300","730008300","8300","Nisutlin River Delta National Wildlife Area","rivière Nisutlin, Réserve nationale de faune de la","5482.96","5482.96","","","","","","","Yukon Territory","Territoire du Yukon","Gazetted","Gazette","","","National Wildlife Area","","lll","lll","Terrestrial","Terrestre","19950101000000","","","","N/A","N/A","54829810.1314697","32928.79711739","0.0088813","0.40949566","0.00888130998828274","0.40949566523801","0.40949566523801","0.00888130998704988"
"247","730004000","730004010","4000","Esquimalt Lagoon Migratory Bird Sanctuary (M)","Esquimalt-Lagoon, Refuge d’oiseaux migrateurs d' (M)","92.59","92.59","","","","","","","British Columbia","Colombie-Britannique","Gazetted","Gazette","","","Migratory Bird Sanctuary","","N/A","N/A","Marine","Marin","19390101000000","","","","N/A","N/A","925924.1652832","5313.4463284","0.00011251","0.0594091","0.000112512955638522","0.0594091083230775","0.0594091083230775","0.000112512955615469"
"248","730004100","730004110","4100","George C. Reifel Migratory Bird Sanctuary (M)","George C. Reifel, Refuge d’oiseaux migrateurs de (M)","246.49","246.49","","","","","","","British Columbia","Colombie-Britannique","Gazetted","Gazette","","","Migratory Bird Sanctuary","","la","la","Marine","Marin","19670101000000","","","","N/A","N/A","2464946.3380127","9591.32591941","0.00030351","0.11564501","0.000303519501358096","0.115645013608873","0.115645013608873","0.000303519498095725"
"249","730013600","730013610","13600","Victoria Harbour Migratory Bird Sanctuary (M)","havre de Victoria, Refuge d’oiseaux migrateurs du (M)","1809.97","1809.97","","","","","","","British Columbia","Colombie-Britannique","Gazetted","Gazette","","","Migratory Bird Sanctuary","","N/A","N/A","Marine","Marin","19230101000000","","","","N/A","N/A","18100381.6237488","81900.8834585","0.00220031","0.93850565","0.00220031296794332","0.938505656841715","0.938505656841717","0.00220031296377002"
"250","730013500","730013500","13500","Vaseux Lake Migratory Bird Sanctuary","lac Vaseux, Refuge d’oiseaux migrateurs du","559","559","","","","","","","British Columbia","Colombie-Britannique","Gazetted","Gazette","","","Migratory Bird Sanctuary","","lll","lll","Terrestrial","Terrestre","19230101000000","","","","Updated Feb 03 2014 - PYR Update (Amos Chow)","Updated Feb 03 2014 - PYR Update (Amos Chow)","5589493.49609375","20606.52200557","0.00069101","0.21933494","0.000691012712195516","0.219334945628297","0.219334945628297","0.000691012717881319"
"251","730003100","730003100","3100","Christie Islet Migratory Bird Sanctuary","îlot Christie, Refuge d’oiseaux migrateurs de l'","1.23","1.23","","","","","","","British Columbia","Colombie-Britannique","Gazetted","Gazette","","","Migratory Bird Sanctuary","","N/A","N/A","Terrestrial","Terrestre","19620101000000","","","","N/A","N/A","12262.28399658","454.06686671","1.52e-006","0.00517045","1.52205439007957e-006","0.00517045740276956","0.00517045740276955","1.52205366655287e-006"
"252","730004000","730004000","4000","Esquimalt Lagoon Migratory Bird Sanctuary (T)","Esquimalt-Lagoon, Refuge d’oiseaux migrateurs d' (T)","41.78","41.78","","","","","","","British Columbia","Colombie-Britannique","Gazetted","Gazette","","","Migratory Bird Sanctuary","","N/A","N/A","Terrestrial","Terrestre","19390101000000","","","","N/A","N/A","417809.28103637","10655.35302892","5.076e-005","0.11905635","5.07688569086895e-005","0.119056352345499","0.1190563523455","5.07688560622148e-005"
"253","730004100","730004100","4100","George C. Reifel Migratory Bird Sanctuary (T)","George C. Reifel, Refuge d’oiseaux migrateurs de (T)","129.19","129.19","","","","","","","British Columbia","Colombie-Britannique","Gazetted","Gazette","","","Migratory Bird Sanctuary","","la","la","Terrestrial","Terrestre","19670101000000","","","","N/A","N/A","1291929.1104126","6495.60485409","0.00015908","0.07511111","0.000159084718234226","0.075111117960768","0.0751111179607679","0.000159084722330007"
"254","730013600","730013600","13600","Victoria Harbour Migratory Bird Sanctuary (T)","havre de Victoria, Refuge d’oiseaux migrateurs du (T)","31.03","31.03","","","","","","","British Columbia","Colombie-Britannique","Gazetted","Gazette","","","Migratory Bird Sanctuary","","N/A","N/A","Terrestrial","Terrestre","19230101000000","","","","N/A","N/A","310332.8239746","9347.87663232","3.769e-005","0.10643552","3.76967432202946e-005","0.106435527166121","0.106435527166121","3.76967498964252e-005"
"255","730007900","730007900","7900","Nechako River Migratory Bird Sanctuary","rivière Nechako, Refuge d’oiseaux migrateurs de la","183.15","183.15","","","","","","","British Columbia","Colombie-Britannique","Gazetted","Gazette","","","Migratory Bird Sanctuary","","N/A","N/A","Terrestrial","Terrestre","19440101000000","","","","N/A","N/A","1831527.86877441","13398.92222196","0.00025105","0.17573901","0.00025105980284934","0.175739014112339","0.175739014112339","0.000251059804597568"
"256","730012000","730012010","12000","Shoal Harbour Migratory Bird Sanctuary","Shoal-Harbour, Refuge d’oiseaux migrateurs de","142.81","142.81","","","","","","","British Columbia","Colombie-Britannique","Gazetted","Gazette","","","Migratory Bird Sanctuary","","N/A","N/A","Marine","Marin","19310101000000","","","","N/A","N/A","1428109.99047852","13154.64122342","0.00017435","0.15043647","0.000174358306594513","0.150436474610872","0.150436474610872","0.000174358303461474"
