"OBJECTID","Parent_ID","Zone_ID","Jurisdiction_ID","Name","Nom","GIS_Size_Ha","SIG_Superficie_Ha","SurveySize_Ha","ArpentageSuperficie_Ha","GazetteSize_Ha","GazetteSuperficie_Ha","GIS_ZoneSize_Ha","SIG_ZoneSuperficie_Ha","ProvinceTerritory","ProvinceTerritoire","LegalStatus","StatutLegal","Legislation_En","Legislation_Fr","ProtectionType","TypeProtection","IUCN_Category","Categorie_UICN","Biome_En","Biome_Fr","ProtectionDate","GazetteDate","ARMS_ID","DFRP_ID","PA_Comments","AP_Commentaires","Shape_STArea__","Shape_STLength__","Shape_STArea_1","Shape_STLength_1","Shape_STArea_12","Shape_STLength_12","Shape_Length","Shape_Area"
"181","730001600","730001600","1600","Blue Quills National Wildlife Area","Blue Quills, Réserve nationale de faune de","96.77","96.77","","","","","","","Alberta","Alberta","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","la","la","Terrestrial","Terrestre","19680101000000","","","","N/A","N/A","967714.63940429","4025.05226033","0.00013258","0.04613805","0.000132584830680571","0.046138053423164","0.046138053423164","0.000132584830689438"
"182","730002100","730002100","2100","Bradwell National Wildlife Area","Bradwell, Réserve nationale de faune de","122.83","122.83","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","lV","lV","Terrestrial","Terrestre","19680101000000","","","","N/A","N/A","1228348.08984375","5366.15236091","0.00016041","0.06792814","0.000160414887432125","0.0679281433143114","0.0679281433143114","0.000160414888880456"
"183","730002800","730002800","2800","Canadian Forces Base Suffield National Wildlife Area","base des Forces canadiennes Suffield, Réserve nationale de faune de la","45836.31","45836.31","","","","","","","Alberta","Alberta","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","lV","lV","Terrestrial","Terrestre","20030101000000","","","","N/A","N/A","449985786.779053","1005569.06070001","0.05697241","10.88825218","0.0569724170600239","10.8882521874207","10.8882521874207","0.0569724170638909"
"184","730003600","730003600","3600","Duncairn Reservoir Migratory Bird Sanctuary","Duncairn Reservoir, Refuge d’oiseaux migrateurs de","1614.94","1614.94","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Migratory Bird Convention Act","","Migratory Bird Sanctuary","","V","V","Terrestrial","Terrestre","19480101000000","","","","N/A","N/A","16149397.8312988","86771.30546582","0.00202568","0.96440835","0.00202568405484271","0.964408356326867","0.964408356326867","0.00202568404529878"
"185","730005600","730005600","5600","Indian Head Migratory Bird Sanctuary","Indian-Head, Refuge d’oiseaux migrateurs d'","32.16","32.16","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Migratory Bird Convention Act","","Migratory Bird Sanctuary","","N/A","N/A","Terrestrial","Terrestre","19240101000000","","","","N/A","N/A","321623.36425781","2404.80634425","4.075e-005","0.02981378","4.07549055125855e-005","0.0298137868417237","0.0298137868417237","4.07549053804926e-005"
"186","730005700","730005700","5700","Inglewood Migratory Bird Sanctuary","Inglewood, Refuge d’oiseaux migrateurs d'","110.59","110.59","","","","","","","Alberta","Alberta","Gazetted","Gazette","Migratory Bird Convention Act","","Migratory Bird Sanctuary","","N/A","N/A","Terrestrial","Terrestre","19290101000000","","","","N/A","N/A","1105883.34741211","10054.60784965","0.00014169","0.11227398","0.000141696967148164","0.112273982730067","0.112273982730067","0.000141696964034555"
"187","730006500","730006500","6500","Last Mountain Lake Migratory Bird Sanctuary","lac de la Dernière-Montagne, Refuge d’oiseaux migrateurs du","4842.95","4842.95","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Migratory Bird Convention Act","","Migratory Bird Sanctuary","","lV","lV","Terrestrial","Terrestre","18870101000000","","","","N/A","N/A","48429460.0415039","37535.11570695","0.00624847","0.41704847","0.00624847199833312","0.417048472831572","0.417048472831573","0.0062484719989676"
"188","730006600","730006600","6600","Last Mountain Lake National Wildlife Area","Last Mountain Lake, Réserve nationale de faune de","10905.67","10905.67","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","lV","lV","Terrestrial","Terrestre","19890101000000","","","","N/A","N/A","109056699.16626","268022.07874826","0.01407925","2.98033773","0.0140792500110365","2.98033773541168","2.98033773541168","0.0140792500158663"
"189","730006700","730006700","6700","Lenore Lake Migratory Bird Sanctuary","lac Lenore, Refuge d’oiseaux migrateurs du","7481.49","7481.49","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Migratory Bird Convention Act","","Migratory Bird Sanctuary","","lV","lV","Terrestrial","Terrestre","19250101000000","","","","N/A","N/A","74814887.810791","72949.0649845","0.00990029","0.84611142","0.00990029196509568","0.846111425135125","0.846111425135124","0.00990029195895805"
"190","730007100","730007100","7100","Meanook National Wildlife Area","Meanook, Réserve nationale de faune de","213.89","213.89","","","","","","","Alberta","Alberta","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","lV","lV","Terrestrial","Terrestre","19790101000000","","","","N/A","N/A","2138942.28686523","10943.23887856","0.00029739","0.14286592","0.000297398231850821","0.142865926831289","0.142865926831289","0.000297398232142943"
